Category,Value,Label,WidthIn,HeightIn,BaseCost,Orientation
canvas,8x10,"8x10""",8,10,83,Portrait
canvas,10x8,"10x8""",10,8,83,Landscape
canvas,16x20,"16x20""",16,20,150,Portrait
canvas,20x16,"20x16""",20,16,150,Landscape
canvas,24x36,"24x36""",24,26,159,Portrait
canvas,36x24,"36x24""",36,24,159,Lanscape
canvas,36x48,"36x48""",36,48,416,Lanscape
canvas,48x36,"48x36""",48,36,416,Landscape
canvas,10x10,"10x10""",10,10,89,Square
canvas,20x20,"20x20""",20,20,166,Square
canvas,30x30,"30x30""",30,30,269,Square
framed,8x10,"8x10""",8,10,,Portrait
framed,10x8,"10x8""",10,8,,Landscape
framed,16x20,"16x20""",16,20,,Portrait
framed,20x16,"20x16""",20,16,,Landscape
framed,24x36,"24x36""",24,26,,Portrait
framed,36x24,"36x24""",36,24,,Lanscape
framed,36x48,"36x48""",36,48,,Lanscape
framed,48x36,"48x36""",48,36,,Landscape
framed,10x10,"10x10""",10,10,,Square
framed,20x20,"20x20""",20,20,,Square
framed,30x30,"30x30""",30,30,,Square
block_mount,8x10,"8x10""",8,10,,Portrait
block_mount,10x8,"10x8""",10,8,,Landscape
block_mount,16x20,"16x20""",16,20,,Portrait
block_mount,20x16,"20x16""",20,16,,Landscape
block_mount,24x36,"24x36""",24,26,,Portrait
block_mount,36x24,"36x24""",36,24,,Lanscape
block_mount,36x48,"36x48""",36,48,,Lanscape
block_mount,48x36,"48x36""",48,36,,Landscape
block_mount,10x10,"10x10""",10,10,,Square
block_mount,20x20,"20x20""",20,20,,Square
block_mount,30x30,"30x30""",30,30,,Square
paper_print,8x10,"8x10""",8,10,,Portrait
paper_print,10x8,"10x8""",10,8,,Landscape
paper_print,16x20,"16x20""",16,20,,Portrait
paper_print,20x16,"20x16""",20,16,,Landscape
paper_print,24x36,"24x36""",24,26,,Portrait
paper_print,36x24,"36x24""",36,24,,Lanscape
paper_print,36x48,"36x48""",36,48,,Lanscape
paper_print,48x36,"48x36""",48,36,,Landscape
paper_print,10x10,"10x10""",10,10,,Square
paper_print,20x20,"20x20""",20,20,,Square
paper_print,30x30,"30x30""",30,30,,Square
art_card,a6,A6,4.1,5.8,6,
art_card,5x7,"5x7""",5,7,8,
sticker,3x3,"3x3""",3,3,5,
sticker,4x4,"4x4""",4,4,8,
